[27-Sep-2012 23:58:48] PHP Parse error:  syntax error, unexpected T_VAR, expecting T_VARIABLE in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\Response.model.php on line 5
[28-Sep-2012 00:10:31] PHP Notice:  Undefined variable: API in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 15
[28-Sep-2012 00:10:31] PHP Fatal error:  Class name must be a valid object or a string in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 15
[28-Sep-2012 00:10:50] PHP Notice:  Undefined variable: API in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 16
[28-Sep-2012 00:10:50] PHP Fatal error:  Class name must be a valid object or a string in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 16
[28-Sep-2012 00:11:07] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 16
[28-Sep-2012 00:11:07] PHP Fatal error:  Cannot access empty property in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\Response.model.php on line 26
[28-Sep-2012 00:12:33] PHP Strict Standards:  Non-static method API::getGames() should not be called statically, assuming $this from incompatible context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 16
[28-Sep-2012 00:12:33] PHP Notice:  Array to string conversion in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\Response.model.php on line 26
[28-Sep-2012 00:12:33] PHP Catchable fatal error:  Object of class Response could not be converted to string in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 24
[28-Sep-2012 00:12:48] PHP Notice:  Array to string conversion in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\Response.model.php on line 26
[28-Sep-2012 00:12:48] PHP Catchable fatal error:  Object of class Response could not be converted to string in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\views\scripts\api\index.phtml on line 24
[28-Sep-2012 00:13:03] PHP Notice:  Array to string conversion in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\Response.model.php on line 26
[28-Sep-2012 00:13:43] PHP Notice:  Array to string conversion in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\Response.model.php on line 26
[28-Sep-2012 00:15:31] PHP Notice:  Array to string conversion in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\Response.model.php on line 26
[28-Sep-2012 00:30:13] PHP Fatal error:  Using $this when not in object context in C:\Users\banderso\Desktop\PROJECTS\php-code-challenge\xbox\application\models\API.model.php on line 11
